"time_window","accept_rate","request","long_waiting","longwait_percent1","longwait_percent4","longwait_percent2","longwait_percent3","Weather Weight_Longwait_percent4","Weather Weight_Longwait_percent2"
"05 09:20:00","0.81132075471698","106","17","0.28301886792453","0.19716981132075","0.18490566037736","0.16037735849057","0.19716981132075","0.18490566037736"
"05 09:40:00","0.70754716981132","106","34","0.5188679245283","0.38018867924528","0.36037735849057","0.32075471698113","0.38018867924528","0.36037735849057"
"05 10:00:00","0.70547945205479","146","58","0.58219178082192","0.4527397260274","0.43424657534247","0.3972602739726","0.4527397260274","0.43424657534247"
"05 10:20:00","0.50785340314136","191","86","0.67539267015707","0.51780104712042","0.49528795811518","0.45026178010471","0.51780104712042","0.49528795811518"
"05 10:40:00","0.53694581280788","203","111","0.83251231527094","0.63251231527094","0.60394088669951","0.54679802955665","0.82226600985222","0.78512315270936"
"05 11:00:00","0.55504587155963","218","99","0.62844036697248","0.50642201834862","0.48899082568807","0.45412844036697","0.65834862385321","0.63568807339449"
"05 11:20:00","0.55813953488372","172","88","0.75","0.58313953488372","0.5593023255814","0.51162790697674","0.75808139534884","0.72709302325581"
"05 11:40:00","0.7","130","52","0.59230769230769","0.45769230769231","0.43846153846154","0.4","0.595","0.57"
"05 12:00:00","0.72","100","28","0.39","0.313","0.302","0.28","0.4069","0.3926"
"05 12:20:00","0.85","60","9","0.25","0.18","0.17","0.15","0.234","0.221"
"05 12:40:00","0.88059701492537","67","12","0.25373134328358","0.20149253731343","0.19402985074627","0.17910447761194","0.26194029850746","0.25223880597015"
"05 13:00:00","0.91176470588235","68","7","0.13235294117647","0.11176470588235","0.10882352941176","0.10294117647059","0.14529411764706","0.14147058823529"
"05 13:20:00","0.85245901639344","61","6","0.13114754098361","0.10819672131147","0.10491803278688","0.098360655737705","0.14065573770492","0.13639344262295"
"05 13:40:00","0.78888888888889","90","19","0.34444444444444","0.25111111111111","0.23777777777778","0.21111111111111","0.32644444444444","0.30911111111111"
"05 14:00:00","0.80208333333333","96","17","0.25","0.19895833333333","0.19166666666667","0.17708333333333","0.25864583333333","0.24916666666667"
"05 14:20:00","0.76153846153846","130","40","0.48461538461538","0.36076923076923","0.34307692307692","0.30769230769231","0.469","0.446"
"05 14:40:00","0.72121212121212","165","54","0.51515151515152","0.38363636363636","0.36484848484848","0.32727272727273","0.49872727272727","0.47430303030303"
"05 15:00:00","0.65641025641026","195","85","0.65641025641026","0.50205128205128","0.48","0.43589743589744","0.65266666666667","0.624"
"05 15:20:00","0.70063694267516","157","61","0.54140127388535","0.4343949044586","0.41910828025478","0.38853503184713","0.56471337579618","0.54484076433121"
"05 15:40:00","0.63636363636364","198","61","0.45959595959596","0.35353535353535","0.33838383838384","0.30808080808081","0.45959595959596","0.43989898989899"
"05 16:00:00","0.82165605095541","157","53","0.48407643312102","0.38152866242038","0.36687898089172","0.33757961783439","0.4959872611465","0.47694267515923"
"05 16:20:00","0.85593220338983","118","19","0.22033898305085","0.17881355932203","0.1728813559322","0.16101694915254","0.23245762711864","0.22474576271186"
