time_window,accept_rate,request,long_waiting,longwait_percent,medium_waiting_time
08 10:20:00,0.9473684210526315,152,7,0.046052631578947366,5.921904353698094
08 10:40:00,0.8802816901408451,142,21,0.14788732394366197,5.445433500935049
08 11:00:00,0.8111888111888111,143,20,0.13986013986013987,5.39392535785834
08 11:20:00,0.9072847682119205,151,28,0.18543046357615894,6.621410482168198
08 11:40:00,0.8529411764705882,102,17,0.16666666666666666,6.272144104980287
08 12:00:00,0.875,96,13,0.13541666666666666,5.888901539095516
08 12:20:00,0.9166666666666666,72,7,0.09722222222222222,6.590135804200783
08 12:40:00,0.875,80,7,0.0875,5.077438129129864
08 13:00:00,0.875,80,7,0.0875,4.881211580832799
08 13:20:00,0.875,88,12,0.13636363636363635,5.328673726924952
08 13:40:00,0.8652482269503546,141,17,0.12056737588652482,5.65759705660636
08 14:00:00,0.864406779661017,177,21,0.11864406779661017,5.682118856140048
08 14:20:00,0.8820224719101124,178,24,0.1348314606741573,5.271176735125482
08 14:40:00,0.8769230769230769,195,31,0.15897435897435896,6.160589484224717
08 15:00:00,0.8348623853211009,218,40,0.1834862385321101,6.023360838920255
08 15:20:00,0.9285714285714286,182,26,0.14285714285714285,5.484328335704225
08 15:40:00,0.9467455621301775,169,22,0.1301775147928994,7.255413777960671
08 16:00:00,0.8685446009389671,213,59,0.27699530516431925,7.429627435635298
08 16:20:00,0.7901234567901234,162,42,0.25925925925925924,7.237357539832591
08 16:40:00,0.8193548387096774,155,48,0.3096774193548387,8.508511257502768
08 17:00:00,0.8031496062992126,127,30,0.23622047244094488,7.853059402906179
08 17:20:00,0.9014084507042254,142,38,0.2676056338028169,7.534793978685524
08 17:40:00,0.7741935483870968,124,18,0.14516129032258066,6.408206801462655
08 18:00:00,0.8079470198675497,151,28,0.18543046357615894,7.019875246697459
08 18:20:00,0.8373983739837398,123,19,0.15447154471544716,6.291062605664844
08 18:40:00,0.8661417322834646,127,28,0.2204724409448819,6.867419569108678
08 19:00:00,0.8,125,29,0.232,6.583503733002222
08 19:20:00,0.8125,96,19,0.19791666666666666,6.654081132436039
08 19:40:00,0.7547169811320755,106,24,0.22641509433962265,7.231475378076236
08 20:00:00,0.6923076923076923,91,32,0.3516483516483517,7.840969356654704
08 20:20:00,0.7391304347826086,69,26,0.37681159420289856,8.863082582988435
08 20:40:00,0.71875,64,17,0.265625,8.67349076412973
09 08:00:00,0.9428571428571428,35,8,0.22857142857142856,6.92711990541882
09 08:20:00,0.9375,32,5,0.15625,6.655597644382053
09 08:40:00,0.9180327868852459,61,2,0.03278688524590164,3.980257308483124
09 09:00:00,0.9473684210526315,76,3,0.039473684210526314,7.932740940366473
09 09:20:00,0.9285714285714286,98,4,0.04081632653061224,7.820325260692172
09 09:40:00,0.9787234042553191,94,4,0.0425531914893617,5.644912765270624
09 10:00:00,0.9351851851851852,108,2,0.018518518518518517,4.3061905395984645
09 10:20:00,0.954954954954955,111,6,0.05405405405405406,5.043939412267585
09 10:40:00,0.8987341772151899,158,15,0.0949367088607595,6.212904188897875
09 11:00:00,0.8896551724137931,145,13,0.0896551724137931,5.261546696751725
09 11:20:00,0.926829268292683,123,5,0.04065040650406504,4.274935468728992
09 11:40:00,0.8974358974358975,117,14,0.11965811965811966,7.653919058612415
09 12:00:00,0.922077922077922,77,2,0.025974025974025976,6.981583191099621
09 12:20:00,0.925,80,4,0.05,5.507093270314045
09 12:40:00,0.9259259259259259,81,6,0.07407407407407407,5.246170457488015
09 13:00:00,0.875,80,3,0.0375,5.114759179751078
09 13:20:00,0.8715596330275229,109,21,0.1926605504587156,8.236053851517763
09 13:40:00,0.8478260869565217,138,18,0.13043478260869565,7.001434874534607
09 14:00:00,0.8873239436619719,142,15,0.1056338028169014,5.512063100568036
09 14:20:00,0.7926829268292683,164,36,0.21951219512195122,6.1464208328781496
09 14:40:00,0.8045977011494253,174,36,0.20689655172413793,7.197039498554336
09 15:00:00,0.7877094972067039,179,27,0.15083798882681565,6.692496803211189
09 15:20:00,0.8031088082901554,193,57,0.29533678756476683,9.010068320854037
09 15:40:00,0.8895027624309392,181,32,0.17679558011049723,6.655166803730859
09 16:00:00,0.8795180722891566,166,23,0.13855421686746988,6.518051411575741
09 16:20:00,0.8903225806451613,155,25,0.16129032258064516,6.515609502143601
09 16:40:00,0.9007633587786259,131,15,0.11450381679389313,8.985378298441569
09 17:00:00,0.9658119658119658,117,10,0.08547008547008547,7.779654259593398
09 17:20:00,0.9528301886792453,106,7,0.0660377358490566,4.789028081417084
09 17:40:00,0.9411764705882353,102,8,0.0784313725490196,5.8560854837298395
09 18:00:00,0.8909090909090909,110,16,0.14545454545454545,6.289222836614859
09 18:20:00,0.8584070796460177,113,18,0.1592920353982301,6.3640874698758125
09 18:40:00,0.84375,96,11,0.11458333333333333,6.48554520559311
09 19:00:00,0.8160919540229885,87,8,0.09195402298850575,5.796589185794194
09 19:20:00,0.8395061728395061,81,9,0.1111111111111111,6.817094370451841
09 19:40:00,0.9459459459459459,74,4,0.05405405405405406,5.267504514115197
09 20:00:00,0.8636363636363636,66,9,0.13636363636363635,8.260686763922374
09 20:20:00,0.8103448275862069,58,3,0.05172413793103448,5.035135223620977
09 20:40:00,0.8888888888888888,45,6,0.13333333333333333,7.390096783354169
10 08:00:00,0.8125,16,4,0.25,10.159910092088912
10 08:20:00,0.9444444444444444,36,4,0.1111111111111111,6.671208641074953
10 08:40:00,0.8620689655172413,58,10,0.1724137931034483,6.487465946762651
10 09:00:00,0.8571428571428571,49,6,0.12244897959183673,7.104182292114604
10 09:20:00,0.8227848101265823,79,5,0.06329113924050633,10.018066948652267
10 09:40:00,0.925,80,11,0.1375,6.51634390839824
10 10:00:00,0.8571428571428571,105,9,0.08571428571428572,7.586390830550277
10 10:20:00,0.8951612903225806,124,14,0.11290322580645161,5.752892510828219
10 10:40:00,0.8396946564885496,131,18,0.13740458015267176,7.059511805621404
10 11:00:00,0.773109243697479,119,31,0.2605042016806723,7.6548173805500594
10 11:20:00,0.9326923076923077,104,9,0.08653846153846154,4.704751538857818
10 11:40:00,0.9340659340659341,91,4,0.04395604395604396,4.652266930474175
10 12:00:00,0.868421052631579,76,5,0.06578947368421052,5.4213932420526225
10 12:20:00,0.8529411764705882,68,9,0.1323529411764706,6.3934239767215875
10 12:40:00,0.9014084507042254,71,11,0.15492957746478872,7.517516043139439
10 13:00:00,0.8985507246376812,69,5,0.07246376811594203,6.405741587139311
10 13:20:00,0.9047619047619048,63,9,0.14285714285714285,6.908482896884283
10 13:40:00,0.9090909090909091,77,10,0.12987012987012986,7.219699560550222
10 14:00:00,0.8076923076923077,104,17,0.16346153846153846,6.3435925271775995
10 14:20:00,0.8791208791208791,91,22,0.24175824175824176,7.8357588660149355
10 14:40:00,0.8681318681318682,91,7,0.07692307692307693,5.186525342956421
10 15:00:00,0.9158878504672897,107,4,0.037383177570093455,4.283586484193802
10 15:20:00,0.9506172839506173,81,2,0.024691358024691357,3.6964383562405905
10 15:40:00,0.979381443298969,97,0,0.0,3.5614628330866496
10 16:00:00,0.9368421052631579,95,6,0.06315789473684211,5.362609930833181
10 16:20:00,0.9411764705882353,68,2,0.029411764705882353,6.285779906643762
10 16:40:00,0.9382716049382716,81,4,0.04938271604938271,9.45914490779241
10 17:00:00,0.9479166666666666,96,11,0.11458333333333333,7.478043851366749
10 17:20:00,0.883495145631068,103,13,0.1262135922330097,6.076500475680691
10 17:40:00,0.8349514563106796,103,17,0.1650485436893204,7.007296075820922
10 18:00:00,0.8068181818181818,88,13,0.14772727272727273,7.1531007523720085
10 18:20:00,0.75,92,16,0.17391304347826086,6.15727761147315
10 18:40:00,0.8536585365853658,82,15,0.18292682926829268,6.425986517851169
10 19:00:00,0.9090909090909091,66,11,0.16666666666666666,6.152747253396295
10 19:20:00,0.8360655737704918,61,4,0.06557377049180328,6.099061007210703
10 19:40:00,0.9166666666666666,36,4,0.1111111111111111,7.330631883497591
10 20:00:00,0.875,24,3,0.125,15.648061354955038
10 20:20:00,0.8863636363636364,44,5,0.11363636363636363,8.662993925589102
10 20:40:00,0.84,25,6,0.24,9.938971483707428
11 08:00:00,0.9230769230769231,13,1,0.07692307692307693,9.050151181221008
11 08:20:00,0.9473684210526315,19,0,0.0,2.7460147023200987
11 08:40:00,0.9230769230769231,26,3,0.11538461538461539,13.88836122949918
11 09:00:00,0.9333333333333333,45,2,0.044444444444444446,4.202457452615103
11 09:20:00,1.0,36,1,0.027777777777777776,4.196334807078044
11 09:40:00,0.9333333333333333,60,3,0.05,6.601437750316801
11 10:00:00,0.926829268292683,82,6,0.07317073170731707,7.162201309645618
11 10:20:00,0.927536231884058,69,1,0.014492753623188406,5.121335538669869
11 10:40:00,0.925,80,9,0.1125,8.115067075514325
11 11:00:00,0.8738738738738738,111,15,0.13513513513513514,6.610036064121458
11 11:20:00,0.8260869565217391,92,18,0.1956521739130435,5.811607756759182
11 11:40:00,0.8148148148148148,81,14,0.1728395061728395,6.559685164882291
11 12:00:00,0.7763157894736842,76,17,0.2236842105263158,6.5214455702283365
11 12:20:00,0.9090909090909091,55,14,0.2545454545454545,7.045095386770037
11 12:40:00,0.8928571428571429,56,7,0.125,5.472266936832004
11 13:00:00,0.8809523809523809,42,1,0.023809523809523808,4.104946871030898
11 13:20:00,0.9615384615384616,52,4,0.07692307692307693,10.360408849848643
11 13:40:00,0.9574468085106383,47,1,0.02127659574468085,5.523913550376892
11 14:00:00,0.7894736842105263,76,12,0.15789473684210525,8.817510633832878
11 14:20:00,0.7049180327868853,61,10,0.16393442622950818,8.762948569986555
11 14:40:00,0.8545454545454545,55,13,0.23636363636363636,7.0299819423092735
11 15:00:00,0.8709677419354839,62,9,0.14516129032258066,6.7778471326828
11 15:20:00,0.8125,64,12,0.1875,11.056673905849458
11 15:40:00,0.8472222222222222,72,9,0.125,7.116728854388522
11 16:00:00,0.8888888888888888,90,10,0.1111111111111111,7.437212524725043
11 16:20:00,0.9054054054054054,74,10,0.13513513513513514,6.964941785913525
11 16:40:00,0.9130434782608695,92,7,0.07608695652173914,5.910043354361664
11 17:00:00,0.7875,80,17,0.2125,7.3326278720778975
11 17:20:00,0.864406779661017,59,7,0.11864406779661017,7.110124634168087
11 17:40:00,0.8292682926829268,82,6,0.07317073170731707,5.485407956207499
11 18:00:00,0.8461538461538461,65,4,0.06153846153846154,4.494382967902165
11 18:20:00,0.9705882352941176,68,3,0.04411764705882353,8.946923466523488
11 18:40:00,0.8793103448275862,58,8,0.13793103448275862,7.86859191866482
11 19:00:00,0.9090909090909091,55,7,0.12727272727272726,7.512572522626983
11 19:20:00,0.9487179487179487,39,2,0.05128205128205128,4.385051780655271
11 19:40:00,0.9285714285714286,42,2,0.047619047619047616,7.423181934356689
11 20:00:00,0.8867924528301887,53,11,0.20754716981132076,7.961743011600093
11 20:20:00,0.875,32,7,0.21875,6.046108287753481
11 20:40:00,0.9411764705882353,17,2,0.11764705882352941,8.591006704171498
12 08:00:00,0.9166666666666666,24,1,0.041666666666666664,6.073375874757767
12 08:20:00,0.967741935483871,31,2,0.06451612903225806,4.560391374429067
12 08:40:00,0.868421052631579,38,6,0.15789473684210525,6.621999128262202
12 09:00:00,0.9444444444444444,54,4,0.07407407407407407,5.443114357335228
12 09:20:00,0.9210526315789473,76,6,0.07894736842105263,6.105033349107813
12 09:40:00,0.9493670886075949,79,2,0.02531645569620253,5.648311844893865
12 10:00:00,0.9,130,18,0.13846153846153847,8.78185403684173
12 10:20:00,0.9333333333333333,105,4,0.0380952380952381,4.173093880751194
12 10:40:00,0.8907563025210085,119,9,0.07563025210084033,5.4377902731483365
12 11:00:00,0.7012987012987013,154,48,0.3116883116883117,8.135506006900002
12 11:20:00,0.7522123893805309,113,25,0.22123893805309736,6.070884714294703
12 11:40:00,0.8645833333333334,96,20,0.20833333333333334,5.982118870975735
12 12:00:00,0.8235294117647058,85,11,0.12941176470588237,6.336746489405631
12 12:20:00,0.9482758620689655,58,3,0.05172413793103448,6.306521468361219
12 12:40:00,0.9259259259259259,54,3,0.05555555555555555,5.263576236565908
12 13:00:00,0.8857142857142857,70,12,0.17142857142857143,9.340304082736633
12 13:20:00,0.8529411764705882,68,8,0.11764705882352941,5.080098371467893
12 13:40:00,0.8571428571428571,77,15,0.19480519480519481,6.411514897552538
12 14:00:00,0.7636363636363637,110,26,0.23636363636363636,7.611561337564931
12 14:20:00,0.8489208633093526,139,23,0.16546762589928057,6.459050800440447
12 14:40:00,0.8309859154929577,142,28,0.19718309859154928,6.325397653170307
12 15:00:00,0.8378378378378378,148,23,0.1554054054054054,6.118308732166789
12 15:20:00,0.82,150,32,0.21333333333333335,8.438016679286957
12 15:40:00,0.916030534351145,131,14,0.10687022900763359,5.748044053231827
12 16:00:00,0.9516129032258065,124,9,0.07258064516129033,5.431392050134963
12 16:20:00,0.941747572815534,103,7,0.06796116504854369,5.945522253778246
12 16:40:00,0.9591836734693877,98,4,0.04081632653061224,4.629050081204145
12 17:00:00,0.9577464788732394,71,3,0.04225352112676056,4.782524453401566
12 17:20:00,0.8977272727272727,88,4,0.045454545454545456,4.452007592425627
12 17:40:00,0.8857142857142857,70,5,0.07142857142857142,5.202600328624248
12 18:00:00,0.9076923076923077,65,5,0.07692307692307693,5.491510371764501
12 18:20:00,0.922077922077922,77,6,0.07792207792207792,7.26069542994866
12 18:40:00,0.8648648648648649,74,6,0.08108108108108109,4.528515333157999
12 19:00:00,0.859375,64,4,0.0625,7.732068080813796
12 19:20:00,0.9333333333333333,60,5,0.08333333333333333,9.690796450206212
12 19:40:00,0.9818181818181818,55,3,0.05454545454545454,7.476954042249256
12 20:00:00,0.9736842105263158,38,2,0.05263157894736842,7.4733306676149365
12 20:20:00,0.9523809523809523,21,2,0.09523809523809523,11.238748957713446
12 20:40:00,0.8620689655172413,29,5,0.1724137931034483,5.688201046784719
13 08:00:00,0.5714285714285714,7,4,0.5714285714285714,19.256941430767377
13 08:20:00,0.5714285714285714,21,10,0.47619047619047616,8.226866788436205
13 08:40:00,0.7142857142857143,14,7,0.5,8.763888708027928
13 09:00:00,0.8695652173913043,23,7,0.30434782608695654,7.2785695858796435
13 09:20:00,0.8541666666666666,48,3,0.0625,4.683729358911514
13 09:40:00,0.8888888888888888,63,7,0.1111111111111111,5.625259780635436
13 10:00:00,0.8481012658227848,79,9,0.11392405063291139,7.274016551673412
13 10:20:00,0.7669902912621359,103,27,0.2621359223300971,7.650019721543347
13 10:40:00,0.6204379562043796,137,44,0.32116788321167883,8.61233483547336
13 11:00:00,0.676056338028169,142,49,0.34507042253521125,7.929510649524061
13 11:20:00,0.8504672897196262,107,38,0.35514018691588783,7.103891245648265
13 11:40:00,0.8170731707317073,82,10,0.12195121951219512,4.621686506753016
13 12:00:00,0.8846153846153846,78,7,0.08974358974358974,6.4964923496047655
13 12:20:00,0.8428571428571429,70,7,0.1,7.20030476324486
13 12:40:00,0.896551724137931,58,5,0.08620689655172414,5.759653597672781
13 13:00:00,0.9761904761904762,42,0,0.0,
13 13:20:00,0.9420289855072463,69,3,0.043478260869565216,5.437799900107914
13 13:40:00,0.8727272727272727,110,12,0.10909090909090909,6.884954038778941
13 14:00:00,0.9313725490196079,102,6,0.058823529411764705,4.648601365811897
13 14:20:00,0.8938053097345132,113,9,0.07964601769911504,5.3526301561257785
13 14:40:00,0.9279279279279279,111,4,0.036036036036036036,4.20396843974789
13 15:00:00,0.9236111111111112,144,8,0.05555555555555555,5.165289016046386
13 15:20:00,0.9557522123893806,113,14,0.12389380530973451,7.35615140888426
13 15:40:00,0.9391304347826087,115,7,0.06086956521739131,5.746679586668809
13 16:00:00,0.9423076923076923,104,5,0.04807692307692308,6.571014632239486
13 16:20:00,0.9428571428571428,105,5,0.047619047619047616,8.179934748736295
