time_window,accept_rate,request,long_waiting,longwait_percent1,longwait_percent2,longwait_percent3,longwait_percent4
08 15:20:00,0.9333333333333333,30,3,0.13333333333333333,0.11,0.1,0.10666666666666667
08 15:40:00,0.8888888888888888,27,2,0.1111111111111111,0.08518518518518518,0.07407407407407407,0.08148148148148149
08 16:00:00,0.8888888888888888,27,4,0.2222222222222222,0.17037037037037037,0.14814814814814814,0.16296296296296298
08 16:20:00,1.0,11,0,,,,
08 16:40:00,0.9444444444444444,18,1,0.1111111111111111,0.07222222222222223,0.05555555555555555,0.06666666666666667
08 17:00:00,0.8,15,1,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667
08 17:20:00,1.0,14,1,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.07142857142857142
08 17:40:00,0.8571428571428571,7,0,,,,
08 18:00:00,1.0,20,0,,,,
08 18:20:00,0.8235294117647058,17,1,0.058823529411764705,0.058823529411764705,0.058823529411764705,0.058823529411764705
08 18:40:00,0.8095238095238095,21,1,0.09523809523809523,0.06190476190476191,0.047619047619047616,0.05714285714285714
08 19:00:00,0.9166666666666666,12,0,,,,
08 19:20:00,0.7272727272727273,11,0,,,,
08 19:40:00,0.8333333333333334,12,0,,,,
08 20:00:00,0.875,8,4,0.75,0.575,0.5,0.55
08 20:20:00,0.8333333333333334,6,2,0.5,0.3833333333333333,0.3333333333333333,0.3666666666666667
08 20:40:00,0.8,5,0,,,,
09 08:20:00,0.5454545454545454,11,3,0.2727272727272727,0.2727272727272727,0.2727272727272727,0.2727272727272727
09 08:40:00,0.75,4,1,0.25,0.25,0.25,0.25
09 09:00:00,0.75,8,1,0.25,0.1625,0.125,0.15
09 09:20:00,0.9285714285714286,14,1,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.07142857142857142
09 09:40:00,0.8636363636363636,22,1,0.09090909090909091,0.05909090909090909,0.045454545454545456,0.05454545454545454
09 10:00:00,0.8235294117647058,17,0,,,,
09 10:20:00,0.9523809523809523,21,3,0.19047619047619047,0.15714285714285714,0.14285714285714285,0.1523809523809524
09 10:40:00,0.9565217391304348,23,3,0.17391304347826086,0.14347826086956522,0.13043478260869565,0.1391304347826087
09 11:00:00,0.9523809523809523,21,0,,,,
09 11:20:00,0.9285714285714286,14,0,,,,
09 11:40:00,0.9166666666666666,12,0,,,,
09 12:00:00,0.9,10,0,,,,
09 12:20:00,1.0,6,0,,,,
09 12:40:00,1.0,8,0,,,,
09 13:00:00,0.9166666666666666,12,0,,,,
09 13:20:00,1.0,13,0,,,,
09 13:40:00,0.9,10,1,0.1,0.1,0.1,0.1
09 14:00:00,0.8235294117647058,17,1,0.11764705882352941,0.07647058823529412,0.058823529411764705,0.07058823529411765
09 14:20:00,1.0,13,0,,,,
09 14:40:00,0.7894736842105263,19,0,,,,
09 15:00:00,0.9285714285714286,14,1,0.14285714285714285,0.09285714285714286,0.07142857142857142,0.08571428571428572
09 15:20:00,1.0,18,0,,,,
09 15:40:00,1.0,13,0,,,,
09 16:00:00,0.8571428571428571,14,0,,,,
09 16:20:00,0.9285714285714286,14,0,,,,
09 16:40:00,1.0,9,0,,,,
09 17:00:00,0.95,20,0,,,,
09 17:20:00,0.9375,16,1,0.0625,0.0625,0.0625,0.0625
09 17:40:00,0.8,15,1,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667
09 18:00:00,0.9565217391304348,23,2,0.17391304347826086,0.11304347826086956,0.08695652173913043,0.10434782608695652
09 18:20:00,0.8125,16,1,0.125,0.08125,0.0625,0.075
09 18:40:00,0.7647058823529411,17,7,0.4117647058823529,0.4117647058823529,0.4117647058823529,0.4117647058823529
09 19:00:00,1.0,3,0,,,,
09 19:20:00,0.7333333333333333,15,7,0.8,0.5666666666666667,0.4666666666666667,0.5333333333333333
09 19:40:00,1.0,6,2,0.5,0.3833333333333333,0.3333333333333333,0.3666666666666667
09 20:00:00,0.8571428571428571,7,3,0.5714285714285714,0.4714285714285714,0.42857142857142855,0.4571428571428572
09 20:20:00,0.8888888888888888,9,3,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333
09 20:40:00,1.0,4,0,,,,
10 08:00:00,1.0,1,0,,,,
10 08:20:00,0.7142857142857143,7,4,0.8571428571428571,0.6571428571428571,0.5714285714285714,0.6285714285714287
10 08:40:00,1.0,5,2,0.4,0.4,0.4,0.4
10 09:00:00,1.0,4,0,,,,
10 09:20:00,1.0,9,0,,,,
10 09:40:00,0.9,10,2,0.3,0.22999999999999998,0.2,0.22000000000000003
10 10:00:00,1.0,17,4,0.35294117647058826,0.27058823529411763,0.23529411764705882,0.25882352941176473
10 10:20:00,1.0,18,4,0.3333333333333333,0.25555555555555554,0.2222222222222222,0.24444444444444446
10 10:40:00,0.8,25,9,0.6,0.43200000000000005,0.36,0.408
10 11:00:00,0.5263157894736842,19,8,0.6842105263157895,0.5,0.42105263157894735,0.47368421052631576
10 11:20:00,0.625,24,15,0.875,0.7000000000000001,0.625,0.6749999999999999
10 11:40:00,0.7333333333333333,15,3,0.4,0.26,0.2,0.24000000000000002
10 12:00:00,0.9375,16,6,0.5625,0.43125,0.375,0.4125
10 12:20:00,0.7142857142857143,14,4,0.42857142857142855,0.32857142857142857,0.2857142857142857,0.31428571428571433
10 12:40:00,0.7142857142857143,7,1,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285
10 13:00:00,0.9090909090909091,11,3,0.36363636363636365,0.3,0.2727272727272727,0.29090909090909095
10 13:20:00,0.8333333333333334,6,0,,,,
10 13:40:00,0.9333333333333333,15,2,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.13333333333333333
10 14:00:00,0.9230769230769231,13,0,,,,
10 14:20:00,1.0,12,0,,,,
10 14:40:00,1.0,10,1,0.2,0.13,0.1,0.12
10 15:00:00,1.0,9,0,,,,
10 15:20:00,0.8571428571428571,7,0,,,,
10 15:40:00,0.8461538461538461,13,1,0.15384615384615385,0.1,0.07692307692307693,0.0923076923076923
10 16:00:00,0.9090909090909091,11,0,,,,
10 16:20:00,0.7894736842105263,19,1,0.05263157894736842,0.05263157894736842,0.05263157894736842,0.05263157894736842
