accept_rate,request,long_waiting,longwait_percent1,longwait_percent2,longwait_percent3,longwait_percent4,online_drivers (no data on day 13 - 09:20:00),Percentchange_onlinedrivers,DriverBusyRate,Pricing,Hour,wd1,wd2,wd3,wd4,wd5,wd6,wd7,Request/Supply
1,27,1,0.074074074,0.048148148,0.037037037,0.044444444,407,0.082446809,0.111111111,1,0.364583333,0,1,0,0,0,0,0,0.066339066
0.972222222,36,1,0.055555556,0.036111111,0.027777778,0.033333333,503,0.235872236,0.119929453,1,0.375,0,1,0,0,0,0,0,0.071570577
0.959183673,49,2,0.06122449,0.046938776,0.040816327,0.044897959,492,-0.021868787,0.157509158,1,0.385416667,0,1,0,0,0,0,0,0.099593496
0.936507937,63,9,0.206349206,0.161904762,0.142857143,0.155555556,584,0.18699187,0.15942029,1,0.395833333,0,1,0,0,0,0,0,0.107876712
0.929824561,57,3,0.070175439,0.057894737,0.052631579,0.056140351,580,-0.006849315,0.201769912,1,0.40625,0,1,0,0,0,0,0,0.098275862
0.9,40,4,0.2,0.13,0.1,0.12,656,0.131034483,0.242016807,1,0.416666667,0,1,0,0,0,0,0,0.06097561
0.851851852,54,6,0.148148148,0.122222222,0.111111111,0.118518519,622,-0.051829268,0.220967742,1,0.427083333,0,1,0,0,0,0,0,0.08681672
0.983870968,62,3,0.080645161,0.058064516,0.048387097,0.05483871,668,0.073954984,0.263650546,1,0.4375,0,1,0,0,0,0,0,0.092814371
0.936507937,63,5,0.158730159,0.103174603,0.079365079,0.095238095,640,-0.041916168,0.240412979,1,0.447916667,0,1,0,0,0,0,0,0.0984375
0.915662651,83,3,0.060240964,0.043373494,0.036144578,0.040963855,702,0.096875,0.209985316,1,0.458333333,0,1,0,0,0,0,0,0.118233618
0.923076923,65,3,0.061538462,0.050769231,0.046153846,0.049230769,664,-0.054131054,0.218155198,1,0.46875,0,1,0,0,0,0,0,0.097891566
0.925925926,81,4,0.074074074,0.056790123,0.049382716,0.054320988,686,0.03313253,0.224188791,1,0.479166667,0,1,0,0,0,0,0,0.118075802
0.928571429,84,10,0.19047619,0.14047619,0.119047619,0.133333333,634,-0.075801749,0.243759178,1,0.489583333,0,1,0,0,0,0,0,0.132492114
0.849056604,53,2,0.075471698,0.049056604,0.037735849,0.045283019,656,0.034700315,0.2,1,0.5,0,1,0,0,0,0,0,0.080792683
0.972972973,37,3,0.108108108,0.089189189,0.081081081,0.086486486,558,-0.149390244,0.181952663,1,0.510416667,0,1,0,0,0,0,0,0.066308244
1,35,0,,,,,571,0.023297491,0.192789969,1,0.520833333,0,1,0,0,0,0,0,0.061295972
0.942857143,35,0,,,,,521,-0.087565674,0.193343899,1,0.53125,0,1,0,0,0,0,0,0.067178503
0.96875,32,0,,,,,579,0.111324376,0.209897611,1,0.541666667,0,1,0,0,0,0,0,0.055267703
0.976744186,43,1,0.023255814,0.023255814,0.023255814,0.023255814,529,-0.086355786,0.167539267,1,0.552083333,0,1,0,0,0,0,0,0.081285444
0.930232558,43,1,0.046511628,0.030232558,0.023255814,0.027906977,579,0.094517958,0.142585551,1,0.5625,0,1,0,0,0,0,0,0.074265976
0.887323944,71,8,0.183098592,0.133802817,0.112676056,0.126760563,548,-0.053540587,0.135523614,1,0.572916667,0,1,0,0,0,0,0,0.129562044
0.8875,80,9,0.2,0.13875,0.1125,0.13,627,0.144160584,0.155405405,1,0.583333333,0,1,0,0,0,0,0,0.127591707
0.878787879,66,10,0.166666667,0.156060606,0.151515152,0.154545455,543,-0.133971292,0.134090909,1,0.59375,0,1,0,0,0,0,0,0.121546961
0.918604651,86,10,0.197674419,0.140697674,0.11627907,0.13255814,630,0.160220994,0.140703518,1,0.604166667,0,1,0,0,0,0,0,0.136507937
0.896103896,77,13,0.220779221,0.184415584,0.168831169,0.179220779,609,-0.033333333,0.126027397,1,0.614583333,0,1,0,0,0,0,0,0.126436782
0.86,100,12,0.17,0.135,0.12,0.13,647,0.062397373,0.061919505,1,0.625,0,1,0,0,0,0,0,0.154559505
0.872093023,86,15,0.23255814,0.191860465,0.174418605,0.186046512,625,-0.034003091,0.081218274,1,0.635416667,0,1,0,0,0,0,0,0.1376
0.845238095,84,13,0.226190476,0.176190476,0.154761905,0.169047619,658,0.0528,0.118852459,1,0.645833333,0,1,0,0,0,0,0,0.127659574
0.889908257,109,14,0.201834862,0.150458716,0.128440367,0.143119266,642,-0.024316109,0.130990415,1,0.65625,0,1,0,0,0,0,0,0.169781931
0.98630137,73,5,0.095890411,0.076712329,0.068493151,0.073972603,689,0.073208723,0.143236074,1,0.666666667,0,1,0,0,0,0,0,0.105950653
0.88172043,93,9,0.129032258,0.106451613,0.096774194,0.103225806,657,-0.046444122,0.163017032,1,0.677083333,0,1,0,0,0,0,0,0.141552511
0.949152542,59,4,0.118644068,0.083050847,0.06779661,0.077966102,694,0.056316591,0.127659574,1,0.6875,0,1,0,0,0,0,0,0.085014409
0.947368421,76,2,0.039473684,0.030263158,0.026315789,0.028947368,632,-0.089337176,0.138276553,1,0.697916667,0,1,0,0,0,0,0,0.120253165
1,57,1,0.035087719,0.022807018,0.01754386,0.021052632,684,0.082278481,0.142023346,1,0.708333333,0,1,0,0,0,0,0,0.083333333
0.964285714,56,3,0.089285714,0.064285714,0.053571429,0.060714286,611,-0.106725146,0.183364839,1,0.71875,0,1,0,0,0,0,0,0.091653028
0.93220339,59,6,0.118644068,0.106779661,0.101694915,0.105084746,652,0.06710311,0.166979362,1,0.729166667,0,1,0,0,0,0,0,0.090490798
0.931034483,58,4,0.120689655,0.084482759,0.068965517,0.079310345,585,-0.102760736,0.163602941,1,0.739583333,0,1,0,0,0,0,0,0.099145299
0.816666667,60,7,0.166666667,0.131666667,0.116666667,0.126666667,618,0.056410256,0.144787645,1,0.75,0,1,0,0,0,0,0,0.097087379
0.857142857,70,5,0.128571429,0.088571429,0.071428571,0.082857143,556,-0.100323625,0.119918699,1,0.760416667,0,1,0,0,0,0,0,0.125899281
0.947368421,57,10,0.228070175,0.19122807,0.175438596,0.185964912,581,0.044964029,0.085653105,1,0.770833333,0,1,0,0,0,0,0,0.098106713
0.951219512,41,6,0.219512195,0.168292683,0.146341463,0.16097561,501,-0.137693632,0.105263158,1,0.78125,0,1,0,0,0,0,0,0.081836327
0.820512821,39,8,0.333333333,0.243589744,0.205128205,0.230769231,503,0.003992016,0.106235566,1,0.791666667,0,1,0,0,0,0,0,0.077534791
0.673913043,46,8,0.260869565,0.2,0.173913043,0.191304348,442,-0.121272366,0.102380952,1,0.802083333,0,1,0,0,0,0,0,0.104072398
0.727272727,44,5,0.159090909,0.127272727,0.113636364,0.122727273,458,0.036199095,0.128805621,1,0.8125,0,1,0,0,0,0,0,0.096069869
0.612244898,49,16,0.428571429,0.357142857,0.326530612,0.346938776,396,-0.135371179,0.157079646,1,0.822916667,0,1,0,0,0,0,0,0.123737374
0.731707317,41,10,0.390243902,0.287804878,0.243902439,0.273170732,383,-0.032828283,0.188160677,1,0.833333333,0,1,0,0,0,0,0,0.107049608
1,6,2,0.666666667,0.433333333,0.333333333,0.4,313,-0.182767624,0.126272912,1,0.333333333,0,0,1,0,0,0,0,0.019169329
0.9375,16,1,0.125,0.08125,0.0625,0.075,348,0.111821086,0.173913043,1,0.34375,0,0,1,0,0,0,0,0.045977011
0.965517241,29,0,,,,,451,0.295977011,0.176356589,1,0.354166667,0,0,1,0,0,0,0,0.064301552
0.914285714,35,3,0.171428571,0.111428571,0.085714286,0.102857143,474,0.050997783,0.125,1,0.364583333,0,0,1,0,0,0,0,0.073839662
0.930232558,43,0,,,,,566,0.194092827,0.139359699,1,0.375,0,0,1,0,0,0,0,0.075971731
0.921568627,51,1,0.019607843,0.019607843,0.019607843,0.019607843,580,0.024734982,0.135238095,1,0.385416667,0,0,1,0,0,0,0,0.087931034
0.934782609,46,0,,,,,682,0.175862069,0.153846154,1,0.395833333,0,0,1,0,0,0,0,0.06744868
0.953125,64,0,,,,,664,-0.026392962,0.14957265,1,0.40625,0,0,1,0,0,0,0,0.096385542
1,41,2,0.073170732,0.056097561,0.048780488,0.053658537,723,0.088855422,0.148796499,1,0.416666667,0,0,1,0,0,0,0,0.05670816
0.918604651,86,3,0.058139535,0.041860465,0.034883721,0.039534884,699,-0.033195021,0.155963303,1,0.427083333,0,0,1,0,0,0,0,0.123032904
0.925,80,3,0.0625,0.045,0.0375,0.0425,750,0.072961373,0.156479218,1,0.4375,0,0,1,0,0,0,0,0.106666667
0.907563025,119,17,0.226890756,0.168067227,0.142857143,0.159663866,710,-0.053333333,0.140449438,1,0.447916667,0,0,1,0,0,0,0,0.167605634
0.882352941,85,8,0.152941176,0.111764706,0.094117647,0.105882353,746,0.050704225,0.132716049,1,0.458333333,0,0,1,0,0,0,0,0.113941019
