time_window,accept_rate,request,long_waiting,longwait_percent1,longwait_percent2,longwait_percent3,longwait_percent4
05 15:40:00,0.8413793103448276,145,13,0.15172413793103448,0.10827586206896551,0.0896551724137931,0.10206896551724139
05 16:00:00,0.8345864661654135,133,16,0.18796992481203006,0.14060150375939848,0.12030075187969924,0.13383458646616542
05 16:20:00,0.86,100,7,0.11,0.08199999999999999,0.07,0.078
05 16:40:00,0.8953488372093024,86,5,0.08139534883720931,0.06511627906976744,0.05813953488372093,0.06279069767441861
05 17:00:00,0.9204545454545454,88,5,0.07954545454545454,0.06363636363636363,0.056818181818181816,0.06136363636363637
05 17:20:00,0.8631578947368421,95,12,0.21052631578947367,0.15157894736842106,0.12631578947368421,0.1431578947368421
05 17:40:00,0.8857142857142857,70,6,0.14285714285714285,0.10285714285714286,0.08571428571428572,0.09714285714285714
05 18:00:00,0.8732394366197183,71,5,0.11267605633802817,0.08309859154929577,0.07042253521126761,0.07887323943661971
05 18:20:00,0.8309859154929577,71,13,0.23943661971830985,0.19999999999999998,0.18309859154929578,0.1943661971830986
05 18:40:00,0.8297872340425532,94,16,0.24468085106382978,0.19255319148936173,0.1702127659574468,0.1851063829787234
05 19:00:00,0.9142857142857143,70,13,0.2714285714285714,0.21142857142857144,0.18571428571428572,0.20285714285714285
05 19:20:00,0.7424242424242424,66,20,0.42424242424242425,0.33939393939393936,0.30303030303030304,0.32727272727272727
05 19:40:00,0.7377049180327869,61,11,0.22950819672131148,0.19508196721311477,0.18032786885245902,0.1901639344262295
05 20:00:00,0.85,40,2,0.075,0.057499999999999996,0.05,0.05500000000000001
05 20:20:00,0.8571428571428571,35,6,0.22857142857142856,0.18857142857142856,0.17142857142857143,0.18285714285714286
05 20:40:00,0.9047619047619048,21,3,0.2857142857142857,0.18571428571428572,0.14285714285714285,0.17142857142857143
06 08:00:00,0.8421052631578947,19,3,0.21052631578947367,0.17368421052631577,0.15789473684210525,0.16842105263157894
06 08:20:00,0.8947368421052632,19,1,0.10526315789473684,0.06842105263157895,0.05263157894736842,0.06315789473684211
06 08:40:00,0.9545454545454546,22,0,,,,
06 09:00:00,0.9459459459459459,37,0,,,,
06 09:20:00,0.9047619047619048,42,0,,,,
06 09:40:00,0.9772727272727273,44,1,0.045454545454545456,0.029545454545454545,0.022727272727272728,0.02727272727272727
06 10:00:00,1.0,31,0,,,,
06 10:20:00,1.0,45,1,0.044444444444444446,0.02888888888888889,0.022222222222222223,0.026666666666666665
06 10:40:00,1.0,53,3,0.11320754716981132,0.07358490566037736,0.05660377358490566,0.06792452830188679
06 11:00:00,0.9473684210526315,57,3,0.08771929824561403,0.06315789473684211,0.05263157894736842,0.05964912280701754
06 11:20:00,0.9180327868852459,61,4,0.09836065573770492,0.07540983606557376,0.06557377049180328,0.07213114754098361
06 11:40:00,1.0,41,1,0.024390243902439025,0.024390243902439025,0.024390243902439025,0.024390243902439025
06 12:00:00,0.9111111111111111,45,1,0.022222222222222223,0.022222222222222223,0.022222222222222223,0.022222222222222223
06 12:20:00,0.9787234042553191,47,1,0.0425531914893617,0.027659574468085108,0.02127659574468085,0.02553191489361702
06 12:40:00,0.9024390243902439,41,1,0.04878048780487805,0.03170731707317073,0.024390243902439025,0.029268292682926828
06 13:00:00,0.8085106382978723,47,2,0.06382978723404255,0.04893617021276595,0.0425531914893617,0.04680851063829788
06 13:20:00,0.9523809523809523,42,0,,,,
06 13:40:00,0.9838709677419355,62,2,0.04838709677419355,0.037096774193548385,0.03225806451612903,0.035483870967741936
06 14:00:00,0.9411764705882353,51,1,0.0392156862745098,0.025490196078431372,0.0196078431372549,0.023529411764705882
06 14:20:00,0.9122807017543859,57,1,0.03508771929824561,0.02280701754385965,0.017543859649122806,0.021052631578947368
06 14:40:00,0.9672131147540983,61,2,0.04918032786885246,0.03770491803278688,0.03278688524590164,0.036065573770491806
06 15:00:00,0.9692307692307692,65,1,0.03076923076923077,0.02,0.015384615384615385,0.01846153846153846
06 15:20:00,1.0,54,1,0.037037037037037035,0.024074074074074074,0.018518518518518517,0.022222222222222223
06 15:40:00,0.9444444444444444,54,3,0.07407407407407407,0.06111111111111111,0.05555555555555555,0.05925925925925926
06 16:00:00,0.9622641509433962,53,3,0.09433962264150944,0.06792452830188679,0.05660377358490566,0.06415094339622641
06 16:20:00,0.9137931034482759,58,3,0.08620689655172414,0.06206896551724138,0.05172413793103448,0.05862068965517241
06 16:40:00,0.9322033898305084,59,3,0.06779661016949153,0.05593220338983051,0.05084745762711865,0.054237288135593226
06 17:00:00,0.9333333333333333,75,4,0.08,0.06133333333333333,0.05333333333333334,0.05866666666666667
06 17:20:00,0.9102564102564102,78,10,0.20512820512820512,0.1512820512820513,0.1282051282051282,0.14358974358974358
06 17:40:00,0.9375,48,7,0.20833333333333334,0.16458333333333333,0.14583333333333334,0.15833333333333333
06 18:00:00,0.8983050847457628,59,6,0.13559322033898305,0.11186440677966102,0.1016949152542373,0.10847457627118645
06 18:20:00,0.9152542372881356,59,7,0.1694915254237288,0.13389830508474576,0.11864406779661017,0.1288135593220339
06 18:40:00,0.8148148148148148,54,11,0.3333333333333333,0.24259259259259258,0.2037037037037037,0.22962962962962963
06 19:00:00,0.8653846153846154,52,5,0.11538461538461539,0.10192307692307692,0.09615384615384616,0.1
06 19:20:00,0.8604651162790697,43,1,0.046511627906976744,0.030232558139534883,0.023255813953488372,0.027906976744186046
06 19:40:00,0.8285714285714286,35,2,0.05714285714285714,0.05714285714285714,0.05714285714285714,0.05714285714285714
06 20:00:00,0.8846153846153846,26,1,0.038461538461538464,0.038461538461538464,0.038461538461538464,0.038461538461538464
06 20:20:00,0.9047619047619048,21,3,0.23809523809523808,0.17142857142857143,0.14285714285714285,0.1619047619047619
06 20:40:00,0.6086956521739131,23,10,0.6956521739130435,0.5130434782608696,0.43478260869565216,0.4869565217391304
07 08:00:00,0.7894736842105263,19,2,0.15789473684210525,0.12105263157894736,0.10526315789473684,0.11578947368421054
07 08:20:00,0.8709677419354839,31,3,0.16129032258064516,0.11612903225806452,0.0967741935483871,0.10967741935483871
07 08:40:00,0.9215686274509803,51,1,0.0196078431372549,0.0196078431372549,0.0196078431372549,0.0196078431372549
07 09:00:00,0.9655172413793104,58,4,0.08620689655172414,0.07413793103448275,0.06896551724137931,0.07241379310344828
07 09:20:00,0.971830985915493,71,2,0.056338028169014086,0.036619718309859155,0.028169014084507043,0.03380281690140845
07 09:40:00,0.9764705882352941,85,2,0.047058823529411764,0.03058823529411765,0.023529411764705882,0.028235294117647056
07 10:00:00,0.9620253164556962,79,1,0.02531645569620253,0.016455696202531647,0.012658227848101266,0.015189873417721518
