time_window,accept_rate,request,long_waiting,longwait_percent1,longwait_percent4,longwait_percent2,longwait_percent3
08 15:20:00,0.9285714285714286,182,26,0.1978021978021978,0.15934065934065933,0.15384615384615385,0.14285714285714285
08 15:40:00,0.9467455621301775,169,22,0.20710059171597633,0.15325443786982249,0.1455621301775148,0.1301775147928994
08 16:00:00,0.8685446009389671,213,59,0.4413145539906103,0.32629107981220656,0.30985915492957744,0.27699530516431925
08 16:20:00,0.7901234567901234,162,42,0.4074074074074074,0.3037037037037037,0.28888888888888886,0.25925925925925924
08 16:40:00,0.8193548387096774,155,48,0.44516129032258067,0.35032258064516125,0.3367741935483871,0.3096774193548387
08 17:00:00,0.8031496062992126,127,30,0.3464566929133858,0.2692913385826772,0.25826771653543307,0.23622047244094488
08 17:20:00,0.9014084507042254,142,38,0.44366197183098594,0.3204225352112676,0.3028169014084507,0.2676056338028169
08 17:40:00,0.7741935483870968,124,18,0.21774193548387097,0.16693548387096774,0.15967741935483873,0.14516129032258066
08 18:00:00,0.8079470198675497,151,28,0.25165562913907286,0.2052980132450331,0.1986754966887417,0.18543046357615894
08 18:20:00,0.8373983739837398,123,19,0.22764227642276422,0.17642276422764228,0.16910569105691056,0.15447154471544716
08 18:40:00,0.8661417322834646,127,28,0.2992125984251969,0.2440944881889764,0.23622047244094488,0.2204724409448819
08 19:00:00,0.8,125,29,0.328,0.26080000000000003,0.2512,0.232
08 19:20:00,0.8125,96,19,0.2916666666666667,0.22604166666666667,0.21666666666666667,0.19791666666666666
08 19:40:00,0.7547169811320755,106,24,0.3584905660377358,0.2660377358490566,0.2528301886792453,0.22641509433962265
08 20:00:00,0.6923076923076923,91,32,0.4945054945054945,0.3945054945054945,0.38021978021978026,0.3516483516483517
08 20:20:00,0.7391304347826086,69,26,0.5362318840579711,0.4246376811594203,0.408695652173913,0.37681159420289856
08 20:40:00,0.71875,64,17,0.375,0.2984375,0.2875,0.265625
09 08:00:00,0.9428571428571428,35,8,0.3142857142857143,0.2542857142857143,0.2457142857142857,0.22857142857142856
09 08:20:00,0.9375,32,5,0.1875,0.165625,0.1625,0.15625
09 08:40:00,0.9180327868852459,61,2,0.03278688524590164,0.03278688524590164,0.03278688524590164,0.03278688524590164
09 09:00:00,0.9473684210526315,76,3,0.05263157894736842,0.043421052631578944,0.042105263157894736,0.039473684210526314
09 09:20:00,0.9285714285714286,98,4,0.05102040816326531,0.04387755102040816,0.04285714285714286,0.04081632653061224
09 09:40:00,0.9787234042553191,94,4,0.05319148936170213,0.045744680851063826,0.04468085106382979,0.0425531914893617
09 10:00:00,0.9351851851851852,108,2,0.037037037037037035,0.024074074074074074,0.022222222222222223,0.018518518518518517
09 10:20:00,0.954954954954955,111,6,0.07207207207207207,0.059459459459459456,0.05765765765765766,0.05405405405405406
09 10:40:00,0.8987341772151899,158,15,0.14556962025316456,0.110126582278481,0.10506329113924051,0.0949367088607595
09 11:00:00,0.8896551724137931,145,13,0.14482758620689656,0.10620689655172413,0.1006896551724138,0.0896551724137931
09 11:20:00,0.926829268292683,123,5,0.056910569105691054,0.04552845528455284,0.04390243902439025,0.04065040650406504
09 11:40:00,0.8974358974358975,117,14,0.1794871794871795,0.13760683760683762,0.13162393162393163,0.11965811965811966
09 12:00:00,0.922077922077922,77,2,0.03896103896103896,0.029870129870129866,0.028571428571428574,0.025974025974025976
09 12:20:00,0.925,80,4,0.075,0.057499999999999996,0.05500000000000001,0.05
09 12:40:00,0.9259259259259259,81,6,0.09876543209876543,0.08148148148148147,0.07901234567901234,0.07407407407407407
09 13:00:00,0.875,80,3,0.05,0.041249999999999995,0.04,0.0375
09 13:20:00,0.8715596330275229,109,21,0.28440366972477066,0.22018348623853212,0.21100917431192662,0.1926605504587156
09 13:40:00,0.8478260869565217,138,18,0.1956521739130435,0.15,0.14347826086956522,0.13043478260869565
09 14:00:00,0.8873239436619719,142,15,0.14788732394366197,0.11830985915492959,0.11408450704225352,0.1056338028169014
09 14:20:00,0.7926829268292683,164,36,0.3597560975609756,0.26158536585365855,0.2475609756097561,0.21951219512195122
09 14:40:00,0.8045977011494253,174,36,0.3390804597701149,0.24655172413793103,0.23333333333333334,0.20689655172413793
09 15:00:00,0.7877094972067039,179,27,0.22346368715083798,0.17262569832402233,0.16536312849162013,0.15083798882681565
09 15:20:00,0.8031088082901554,193,57,0.44041450777202074,0.338860103626943,0.3243523316062176,0.29533678756476683
09 15:40:00,0.8895027624309392,181,32,0.26519337016574585,0.2033149171270718,0.194475138121547,0.17679558011049723
09 16:00:00,0.8795180722891566,166,23,0.23493975903614459,0.1674698795180723,0.1578313253012048,0.13855421686746988
09 16:20:00,0.8903225806451613,155,25,0.23870967741935484,0.18451612903225809,0.17677419354838708,0.16129032258064516
09 16:40:00,0.9007633587786259,131,15,0.16793893129770993,0.13053435114503817,0.12519083969465647,0.11450381679389313
09 17:00:00,0.9658119658119658,117,10,0.1282051282051282,0.09829059829059829,0.09401709401709402,0.08547008547008547
09 17:20:00,0.9528301886792453,106,7,0.09433962264150944,0.07452830188679245,0.07169811320754717,0.0660377358490566
09 17:40:00,0.9411764705882353,102,8,0.14705882352941177,0.09901960784313725,0.09215686274509804,0.0784313725490196
09 18:00:00,0.8909090909090909,110,16,0.21818181818181817,0.16727272727272727,0.16,0.14545454545454545
09 18:20:00,0.8584070796460177,113,18,0.23008849557522124,0.18053097345132743,0.17345132743362834,0.1592920353982301
09 18:40:00,0.84375,96,11,0.1875,0.13645833333333332,0.12916666666666668,0.11458333333333333
09 19:00:00,0.8160919540229885,87,8,0.10344827586206896,0.09540229885057472,0.09425287356321839,0.09195402298850575
09 19:20:00,0.8395061728395061,81,9,0.12345679012345678,0.11481481481481483,0.11358024691358024,0.1111111111111111
09 19:40:00,0.9459459459459459,74,4,0.10810810810810811,0.07027027027027027,0.06486486486486487,0.05405405405405406
09 20:00:00,0.8636363636363636,66,9,0.19696969696969696,0.15454545454545454,0.1484848484848485,0.13636363636363635
09 20:20:00,0.8103448275862069,58,3,0.08620689655172414,0.06206896551724138,0.05862068965517241,0.05172413793103448
09 20:40:00,0.8888888888888888,45,6,0.15555555555555556,0.13999999999999999,0.13777777777777778,0.13333333333333333
10 08:00:00,0.8125,16,4,0.3125,0.26875,0.2625,0.25
10 08:20:00,0.9444444444444444,36,4,0.16666666666666666,0.12777777777777777,0.12222222222222223,0.1111111111111111
10 08:40:00,0.8620689655172413,58,10,0.29310344827586204,0.20862068965517241,0.19655172413793104,0.1724137931034483
10 09:00:00,0.8571428571428571,49,6,0.16326530612244897,0.1346938775510204,0.1306122448979592,0.12244897959183673
10 09:20:00,0.8227848101265823,79,5,0.0759493670886076,0.0670886075949367,0.06582278481012659,0.06329113924050633
10 09:40:00,0.925,80,11,0.225,0.16375,0.155,0.1375
10 10:00:00,0.8571428571428571,105,9,0.11428571428571428,0.09428571428571429,0.09142857142857143,0.08571428571428572
10 10:20:00,0.8951612903225806,124,14,0.1693548387096774,0.12983870967741937,0.12419354838709677,0.11290322580645161
10 10:40:00,0.8396946564885496,131,18,0.20610687022900764,0.15801526717557252,0.15114503816793895,0.13740458015267176
10 11:00:00,0.773109243697479,119,31,0.36134453781512604,0.2907563025210084,0.280672268907563,0.2605042016806723
10 11:20:00,0.9326923076923077,104,9,0.11538461538461539,0.0951923076923077,0.0923076923076923,0.08653846153846154
10 11:40:00,0.9340659340659341,91,4,0.054945054945054944,0.04725274725274725,0.046153846153846156,0.04395604395604396
10 12:00:00,0.868421052631579,76,5,0.10526315789473684,0.07763157894736843,0.07368421052631578,0.06578947368421052
10 12:20:00,0.8529411764705882,68,9,0.14705882352941177,0.13676470588235295,0.13529411764705881,0.1323529411764706
10 12:40:00,0.9014084507042254,71,11,0.19718309859154928,0.1676056338028169,0.16338028169014085,0.15492957746478872
10 13:00:00,0.8985507246376812,69,5,0.10144927536231885,0.08115942028985507,0.0782608695652174,0.07246376811594203
10 13:20:00,0.9047619047619048,63,9,0.2222222222222222,0.16666666666666666,0.15873015873015872,0.14285714285714285
10 13:40:00,0.9090909090909091,77,10,0.22077922077922077,0.15714285714285714,0.14805194805194805,0.12987012987012986
10 14:00:00,0.8076923076923077,104,17,0.2403846153846154,0.18653846153846151,0.17884615384615385,0.16346153846153846
10 14:20:00,0.8791208791208791,91,22,0.32967032967032966,0.2681318681318681,0.25934065934065936,0.24175824175824176
10 14:40:00,0.8681318681318682,91,7,0.0989010989010989,0.08351648351648351,0.08131868131868132,0.07692307692307693
10 15:00:00,0.9158878504672897,107,4,0.06542056074766354,0.04579439252336449,0.04299065420560747,0.037383177570093455
