time_window,accept_rate
10 20:20:00,1.0
10 20:40:00,1.0
11 08:00:00,1.0
11 08:20:00,1.0
11 08:40:00,1.0
11 09:00:00,1.0
11 09:20:00,1.0
11 09:40:00,0.8461538461538461
11 10:00:00,0.9230769230769231
11 10:20:00,0.8
11 10:40:00,0.896551724137931
11 11:00:00,0.7105263157894737
11 11:20:00,0.6470588235294118
11 11:40:00,0.8148148148148148
11 12:00:00,0.5
11 12:20:00,0.8823529411764706
11 12:40:00,0.8333333333333334
11 13:00:00,1.0
11 13:20:00,1.0
11 13:40:00,1.0
11 14:00:00,0.85
11 14:20:00,0.7142857142857143
11 14:40:00,1.0
11 15:00:00,0.9230769230769231
11 15:20:00,0.7272727272727273
11 15:40:00,0.9375
11 16:00:00,0.8571428571428571
11 16:20:00,0.8
11 16:40:00,0.84
11 17:00:00,0.6842105263157895
11 17:20:00,0.8235294117647058
11 17:40:00,0.7307692307692307
11 18:00:00,0.875
11 18:20:00,0.9090909090909091
11 18:40:00,0.9
11 19:00:00,1.0
11 19:20:00,0.8333333333333334
11 19:40:00,1.0
11 20:00:00,1.0
11 20:20:00,0.6666666666666666
11 20:40:00,1.0
12 08:00:00,0.9
12 08:20:00,1.0
12 08:40:00,1.0
12 09:00:00,1.0
12 09:20:00,0.9375
12 09:40:00,0.9130434782608695
12 10:00:00,0.8852459016393442
12 10:20:00,0.8918918918918919
12 10:40:00,0.8648648648648649
12 11:00:00,0.6041666666666666
12 11:20:00,0.6666666666666666
12 11:40:00,0.7368421052631579
12 12:00:00,0.6666666666666666
12 12:20:00,0.9583333333333334
12 12:40:00,1.0
12 13:00:00,0.8857142857142857
12 13:20:00,0.7058823529411765
12 13:40:00,1.0
12 14:00:00,0.7272727272727273
12 14:20:00,0.8181818181818182
12 14:40:00,0.8461538461538461
12 15:00:00,0.8108108108108109
12 15:20:00,0.7735849056603774
12 15:40:00,0.972972972972973
12 16:00:00,0.975609756097561
12 16:20:00,0.96875
12 16:40:00,0.9743589743589743
12 17:00:00,0.9583333333333334
12 17:20:00,0.9714285714285714
