timewindow,average_waiting_time
13 13:20:00,1.3513147945989648
13 13:40:00,1.711414451510818
13 14:00:00,1.6179979429847893
13 14:20:00,2.2600499846317152
13 14:40:00,0.736534757932027
13 15:00:00,0.810582096945672
13 15:20:00,2.1801578386833795
13 15:40:00,0.43456856530122084
13 16:00:00,0.5011764723630179
13 16:20:00,0.42624523767403205
13 16:40:00,2.8670119095731668
13 17:00:00,1.1907901837368204
13 17:20:00,1.9914966453676641
13 17:40:00,2.1611037539111244
13 18:00:00,2.401209056550178
13 18:20:00,1.3688767960777988
13 18:40:00,1.0156156176990934
13 19:00:00,1.211844678719839
13 19:20:00,1.1367535265286761
13 19:40:00,3.1432856362490433
13 20:00:00,3.0392732537928078
13 20:20:00,0.8447905266284943
13 20:40:00,1.7471748095971564
14 08:00:00,0.7533224383989969
14 08:20:00,0.4016727634270986
14 08:40:00,0.24275068994881452
14 09:00:00,0.7444933591065583
14 09:20:00,0.4063726182967897
14 09:40:00,1.166569182436953
14 10:00:00,1.1670991791619196
14 10:20:00,0.8339104623329349
14 10:40:00,0.8183639508554306
14 11:00:00,2.17095320584282
14 11:20:00,3.2285969947323654
14 11:40:00,1.618748238273695
14 12:00:00,0.7040237771670023
14 12:20:00,1.4548654925255549
14 12:40:00,0.5376876212301708
14 13:00:00,0.2942469336589177
14 13:20:00,0.43204772954895393
14 13:40:00,1.793154494273357
14 14:00:00,2.3112178859710695
14 14:20:00,2.0499503820661515
14 14:40:00,2.3869725827279136
14 15:00:00,1.7876240181729073
14 15:20:00,3.3241065044029092
14 15:40:00,3.3508536374793874
14 16:00:00,3.06836536258459
14 16:20:00,1.4829989611238672
14 16:40:00,1.8573495488417777
14 17:00:00,1.1685581351915997
14 17:20:00,2.1542666852474213
14 17:40:00,2.148928122461578
14 18:00:00,0.971580943465233
14 18:20:00,1.025055851141612
14 18:40:00,1.5869110282729655
14 19:00:00,0.6306800251205763
14 19:20:00,2.227099625269572
14 19:40:00,1.576123685462802
14 20:00:00,0.4307375311851501
14 20:20:00,0.1404621031549242
14 20:40:00,0.3171002052448414
15 08:00:00,0.4817486776245965
15 08:20:00,0.8988138887617323
15 08:40:00,0.2206165313720703
15 09:00:00,0.18614651516631797
15 09:20:00,0.33028301771949314
15 09:40:00,0.46811376567778545
15 10:00:00,0.8518307821170705
15 10:20:00,1.3597004171075493
15 10:40:00,1.2623425859875146
15 11:00:00,1.491577809292173
15 11:20:00,1.1698653654618698
15 11:40:00,1.4324157954466463
15 12:00:00,1.2069609736954725
15 12:20:00,0.7176999949026799
15 12:40:00,1.0064449977874754
15 13:00:00,0.7084318993138332
15 13:20:00,1.3609682151513502
15 13:40:00,1.8339044729089418
15 14:00:00,1.224172187734533
15 14:20:00,2.364187681252229
15 14:40:00,3.876835131898839
15 15:00:00,3.169869441881118
15 15:20:00,3.6535122282448276
15 15:40:00,2.660724386430922
15 16:00:00,0.8943142573038738
15 16:20:00,0.5234307570784699
15 16:40:00,0.7720539898444443
15 17:00:00,1.0585999019291936
15 17:20:00,0.9283093796056859
15 17:40:00,1.919409335763366
15 18:00:00,2.2124004796147347
15 18:20:00,2.1076464907143464
15 18:40:00,1.832073851732107
15 19:00:00,3.956490789807361
15 19:20:00,3.4513201094335995
15 19:40:00,1.0544498298962912
15 20:00:00,3.413077337313922
15 20:20:00,3.544632598848054
15 20:40:00,3.4144745365778606
16 08:00:00,0.8357340832551321
16 08:20:00,0.19200165718793868
16 08:40:00,0.9269307533899941
16 09:00:00,1.254118810381208
16 09:20:00,1.1320542336834802
16 09:40:00,0.6284203937683983
16 10:00:00,1.4816434564128997
16 10:20:00,1.0357331210013592
16 10:40:00,3.673032958990608
16 11:00:00,2.473080919391808
16 11:20:00,3.899455741449451
16 11:40:00,2.6856830356234584
16 12:00:00,2.0032279226515026
16 12:20:00,1.3553161259492237
16 12:40:00,1.648542799371662
16 13:00:00,0.8361217649998491
16 13:20:00,3.0621049365426734
16 13:40:00,5.65691021035115
16 14:00:00,6.368304910834901
16 14:20:00,4.230824748277664
16 14:40:00,4.662002637892058
16 15:00:00,5.426700564629615
16 15:20:00,3.298814327269792
16 15:40:00,4.328147298336029
16 16:00:00,1.9813753611070128
16 16:20:00,1.8036496340766441
